year,countyfips,statefips,hel8,wcount,pfuel,lnp,pgt,bt,till,gt
2010,8009,8,1,-2,2.8545556,*,*,*,*,*
2010,8089,8,1,-2,2.8545556,*,*,*,*,*
2010,8011,8,1,-2,2.8545556,*,*,*,*,*
2010,8099,8,1,-2,2.8545556,*,*,*,*,*
2010,10003,10,0,0,2.8570001,*,*,*,*,*
2010,10003,10,0,0,2.8570001,*,*,*,*,*
2010,10001,10,0,0,2.8570001,*,*,*,*,*
2010,10001,10,0,0,2.8570001,*,*,*,*,*
2010,10001,10,0,0,2.8570001,*,*,*,*,*
2010,10005,10,0,0,2.8570001,*,*,*,*,*
2010,10005,10,0,0,2.8570001,*,*,*,*,*
2010,10005,10,0,0,2.8570001,*,*,*,*,*
2010,10005,10,0,0,2.8570001,*,*,*,*,*
2010,10005,10,0,0,2.8570001,*,*,*,*,*
2010,10005,10,0,0,2.8570001,*,*,*,*,*
2010,13129,13,1,1,2.8570001,*,*,*,*,*
2010,13015,13,1,1,2.8570001,*,*,*,*,*
2010,13139,13,1,1,2.8570001,*,*,*,*,*
2010,13147,13,1,1,2.8570001,*,*,*,*,*
2010,13119,13,1,1,2.8570001,*,*,*,*,*
2010,13249,13,0,1,2.8570001,*,*,*,*,*
2010,13309,13,0,1,2.8570001,*,*,*,*,*
2010,13091,13,0,1,2.8570001,*,*,*,*,*
2010,13107,13,0,1,2.8570001,*,*,*,*,*
2010,13163,13,0,1,2.8570001,*,*,*,*,*
2010,13163,13,0,1,2.8570001,*,*,*,*,*
2010,13031,13,0,1,2.8570001,*,*,*,*,*
2010,13031,13,0,1,2.8570001,*,*,*,*,*
2010,13163,13,0,1,2.8570001,*,*,*,*,*
2010,13177,13,0,1,2.8570001,*,*,*,*,*
2010,13201,13,0,1,2.8570001,*,*,*,*,*
2010,13087,13,0,1,2.8570001,*,*,*,*,*
2010,13261,13,0,1,2.8570001,*,*,*,*,*
2010,13131,13,0,1,2.8570001,*,*,*,*,*
2010,13093,13,0,1,2.8570001,*,*,*,*,*
2010,13075,13,0,1,2.8570001,*,*,*,*,*
2010,13075,13,0,1,2.8570001,*,*,*,*,*
2010,13173,13,0,1,2.8570001,*,*,*,*,*
2010,13315,13,0,1,2.8570001,*,*,*,*,*
2010,13019,13,0,1,2.8570001,*,*,*,*,*
2010,13075,13,0,1,2.8570001,*,*,*,*,*
2010,13065,13,0,1,2.8570001,*,*,*,*,*
